ID,Mean,SD
20643315,10225.888888888889,1766.0633089193352
94794774,1199998,NaN
146071355,170567.55555555556,32718.10899605565
1678356850,605000,134350.28842544404
2222728373,47099.375,26084.724653863173
16899436,6691.181818181818,1107.9283151518205
49929776,3865.3333333333335,229.79411074553963
8785294898,400.3809523809524,52.538001290100986
135470963,39730,10977.557915027266
13844730,97941.5,77690.07358515415
62803186,11024.666666666666,2359.443360137507
63241985,9968.4,2259.16595861646
128159108,424626.4,153146.1313543375
10628294,11900.615384615385,2633.3719365881943
74215671,27248,353.5533905932738
395201183,9600,4384.062043356595
1286495,2324.375,294.0942876017826
31313130,28748.75,6290.667869948309
11700927610,865.84,204.31541841985793
28455752,26988,5693.710038279083
63653372,142857,NaN
76692407,484.9120879120879,272.2692559602493
101078326,3538.125,596.3567025419155
152980606,262.3898305084746,68.96926275626839
49939692,2599.5,140.71424945612296
134822876,1457.8333333333333,361.24879986278
292969458,41518.86956521739,4692.498290834656
346675875,69100,23378.40884234853
66303534,4249.076923076923,764.3003839610948
1180428959,542.9294117647058,65.92542472104263
147983227,3330,917.605579756357
162372650,19473.75,3044.0423194918208
11700912778,521.9782608695652,125.38801805780233
1374328,4711.488372093023,790.7506792702327
51243161,7749.428571428572,2429.908287510927
19112109,2703.866666666667,591.8433512179996
102633300,9899.8,223.4954138231924
64493637,2693.875,497.3157770902278
110705572,216,47.288737761766534
136803120,91666.33333333333,102510.4384944935
113325481,13658.4,3832.4866992593725
145833395,3703.3333333333335,1043.8710009702668
63245697,5118,1790.4429619510363
380754227,45373.37142857143,6198.788734079256
17735316,400000,NaN
22547617,17399.571428571428,2594.9313322413022
71484089,NaN,-0
20643329,9155.777777777777,1415.6626344028596
142285694,125000,NaN
16598444,16571.285714285714,4236.772148475209
1037673,13162.333333333334,2014.9524512882138
14404355,150000,NaN
29844011,142500,3535.5339059327375
35167841,1720.6363636363637,345.6964774848806
69344141,929.25,247.41121062485658
376809691,166748.5,60513.874516510674
241542617,16085.526315789473,5032.271889938877
1191109087,5217,1206.402088857608
84012460,193993.5,12438.527649642023
24941896,12659.75,1120.9580351943005
163355211,12852.5,3077.7346701754523
3798251754,174.58241758241758,22.35872483646096
1402319378,1390.3157894736842,386.4299638473501
119812738,3433.42,597.5013308840101
402304782,70000,NaN
1180425924,21347,2456.8888185399574
1743906481,54874.875,26615.931724318267
1376466,34594.2,3776.9383368013837
67494312,7818.615384615385,1886.419294963412
102607079,711.8555555555556,169.93135171189482
262399119,8611,1386.6761217626367
553970961,65176.96551724138,5410.185300631505
1016184964,3124.925,438.4082155497756
120749494,6055.285714285715,1735.3745718898572
98349022,8443.125,1579.5713195583885
12908164,52506,70297.67765011871
382880833,1750000,NaN
2799053,3500000,707106.7811865475
362029747,941.7833333333333,176.0521967732881
102631634,43194,42120.44312049277
154414770,2990.8333333333335,380.7642962192784
340623941,10024.7,1857.6688528009147
21439778,9976.6,3301.955905217391
22547702,5953.272727272727,1859.04621195435
52491335,3630.3333333333335,776.6872386402822
65969704,2005.6923076923076,333.34751251893886
16744173343,6996.588235294118,1773.4619765737696
161211371,300000,NaN
295451740,10394.833333333334,2786.082943249656
2506345646,NaN,-0
6803410579,300.3258426966292,70.62187648457272
26943415,1048.04,157.17333319194663
93709266,24295.85714285714,8749.056814471898
4773579034,247.1868131868132,37.04319163352487
23551803,24100,7447.449039771941
60674719,5756.666666666667,1646.4204353688033
2705893733,4751.565217391304,703.8588763909966
51243486,78607.11111111111,97197.08333001104
148816843,14994,5178.662375556067
215718515,2929473.052631579,215318.3111391839
323419455,87000,2645.7513110645905
553971558,410928.4285714286,12722.526895984447
17449580,109999.5,14141.428516949763
14719555,196000,NaN
16853477,5307.666666666667,988.9749575528526
76692172,542.875,143.74055700209573
116040807,3742.75,429.51560983380926
439941904,28099.666666666668,10527.01763717214
8331190,2244.212121212121,472.51294675223966
93078804,17421.333333333332,13189.562742310047
24826693,444.0657894736842,208.63226567504302
